location,city,bedrooms,bathrooms,price_pkr,size_sqft,price_per_sqft,log_price,days_since_listed,society_type,dha_phase,isb_sector_tier,is_premium_area,phase_number
"Bahria Town - Sector C, Bahria Town",Lahore,5.0,6.0,28000000.0,2250.0,12444.444444444445,17.147715103853763,0.03194444444444445,Bahria,0,0,0,0
"Dha Phase 6 - Block K, Dha Phase 6",Lahore,6.0,7.0,185000000.0,4500.0,41111.11111111111,19.035866388448003,0.03194444444444445,DHA,6,0,1,6
"Bahria Town - Sector E, Bahria Town",Lahore,1.0,1.0,4500000.0,517.5,8695.652173913044,15.319588176962746,0.03680555555555556,Bahria,0,0,0,0
"Lake City, Raiwind Road",Lahore,6.0,7.0,53000000.0,2250.0,23555.555555555555,17.78580249038432,0.041666666666666664,Private,0,0,0,0
"Askari 11 - Sector B Apartments, Askari 11",Lahore,3.0,3.0,30500000.0,2250.0,13555.555555555555,17.233237274364523,0.03888888888888889,Askari,0,0,0,11
"Wapda Town Phase 2, Wapda Town",Lahore,6.0,6.0,42500000.0,2700.0,15740.74074074074,17.565014657424058,0.041666666666666664,Private,0,0,0,2
"Jinnah Colony Harbanspura, Harbanspura",Lahore,4.0,5.0,19000000.0,900.0,21111.11111111111,16.759949589762293,0.08333333333333333,Other,0,0,0,0
"Dha 11 Rahbar Phase 2, Dha 11 Rahbar",Lahore,3.0,4.0,25500000.0,1125.0,22666.666666666668,17.05418904934434,0.08333333333333333,DHA,11,0,0,2
"Dha Phase 7 - Block U, Dha Phase 7",Lahore,5.0,6.0,64500000.0,4500.0,14333.333333333334,17.98217579726988,0.00625,DHA,7,0,0,7
"Dha Phase 6 - Block K, Dha Phase 6",Lahore,5.0,6.0,90000000.0,4500.0,20000.0,18.31532023940565,0.013194444444444444,DHA,6,0,1,6
"Bahria Town - Jinnah Block, Bahria Town - Sector E",Lahore,3.0,4.0,21000000.0,1125.0,18666.666666666668,16.860033043306743,0.001388888888888889,Bahria,0,0,0,0
"Model Town, Lahore",Lahore,5.0,6.0,100000000.0,4500.0,22222.222222222223,18.420680753952364,0.001388888888888889,Established,0,0,1,0
"Central Park - Block Bb, Central Park Housing Scheme",Lahore,4.0,4.0,22000000.0,1125.0,19555.555555555555,16.906553056777135,0.002777777777777778,Private,0,0,0,0
"Central Park - Block Aa, Central Park Housing Scheme",Lahore,4.0,4.0,23000000.0,1125.0,20444.444444444445,16.951004817371683,0.008333333333333333,Private,0,0,0,0
"Dha Phase 6 - Block L, Dha Phase 6",Lahore,6.0,6.0,165000000.0,4500.0,36666.666666666664,18.92145603792546,0.009027777777777779,DHA,6,0,1,6
"Punjab University Society Phase 2, Punjab University Employees Society",Lahore,2.0,2.0,9500000.0,990.0000000000001,9595.959595959595,16.066802461833923,0.0,Other,0,0,0,2
"Union Town, Abdul Sattar Edhi Road",Lahore,2.0,2.0,9500000.0,990.0000000000001,9595.959595959595,16.066802461833923,0.0,Other,0,0,0,0
"Dha Phase 3 - Block X, Dha Phase 3",Lahore,5.0,5.0,72500000.0,4500.0,16111.111111111111,18.099097133618006,0.001388888888888889,DHA,3,0,0,3
"Dha Phase 7 - Block Y, Dha Phase 7",Lahore,5.0,6.0,110000000.0,4500.0,24444.444444444445,18.5159909328476,0.001388888888888889,DHA,7,0,0,7
"Defence Raya, Dha Defence",Lahore,2.0,2.0,72500000.0,1710.0,42397.66081871345,18.099097133618006,0.041666666666666664,DHA,0,0,0,0
"Defence Raya, Dha Defence",Lahore,5.0,6.0,145000000.0,4500.0,32222.222222222223,18.7922443072814,0.041666666666666664,DHA,0,0,0,0
"Defence Raya, Dha Defence",Lahore,5.0,6.0,107500000.0,4500.0,23888.88888888889,18.493001414834318,0.041666666666666664,DHA,0,0,0,0
"Sabzazar Scheme, Lahore",Lahore,5.0,5.0,27500000.0,1125.0,24444.444444444445,17.129696599000436,0.125,Established,0,0,0,0
"Dha Phase 7 - Block Z, Dha Phase 7",Lahore,5.0,6.0,82500000.0,4500.0,18333.333333333332,18.228308863426122,0.125,DHA,7,0,0,7
"Dha Phase 6 - Block K, Dha Phase 6",Lahore,5.0,6.0,110000000.0,4500.0,24444.444444444445,18.5159909328476,0.125,DHA,6,0,1,6
"Dha 9 Town, Dha Defence",Lahore,3.0,5.0,22000000.0,1125.0,19555.555555555555,16.906553056777135,0.125,DHA,9,0,0,0
"Park View City - Overseas Block, Park View City",Lahore,3.0,4.0,8500000.0,1125.0,7555.555555555556,15.955576839107596,0.125,Private,0,0,0,0
"Bahria Town - Sector C, Bahria Town",Lahore,2.0,2.0,12000000.0,720.0,16666.666666666668,16.300417291085605,0.014583333333333334,Bahria,0,0,0,0
"Wapda Town Phase 1, Wapda Town",Lahore,6.0,6.0,52500000.0,2250.0,23333.333333333332,17.77632374660947,0.025694444444444447,Private,0,0,0,1
"Al Hafeez Garden - Phase 5, Al Hafeez Gardens",Lahore,4.0,5.0,26000000.0,1125.0,23111.11111111111,17.073607134447293,0.010416666666666668,Other,0,0,0,5
"Bismillah Housing Scheme, Gt Road",Lahore,3.0,4.0,13000000.0,675.0,19259.25925925926,16.380459992348886,0.011111111111111112,Other,0,0,0,0
