location,city,bedrooms,bathrooms,property_type,price_pkr,size_sqft,days_since_listed,price_per_sqft,log_price,size_category,city_encoded,property_type_encoded
"Bahria Town - Sector C, Bahria Town",Lahore,5,6,House,28000000.0,2250.0,0.03194444444444445,12444.444444444445,17.147715103853763,Large,3,1
"Bahria Town - Sector E, Bahria Town",Lahore,1,1,House,4500000.0,517.5,0.03680555555555556,8695.652173913044,15.319588176962746,Medium,3,1
"Lake City, Raiwind Road",Lahore,6,7,House,53000000.0,2250.0,0.041666666666666664,23555.555555555555,17.78580249038432,Large,3,1
"Askari 11 - Sector B Apartments, Askari 11",Lahore,3,3,House,30500000.0,2250.0,0.03888888888888889,13555.555555555555,17.233237274364523,Large,3,1
"Wapda Town Phase 2, Wapda Town",Lahore,6,6,House,42500000.0,2700.0,0.041666666666666664,15740.74074074074,17.565014657424058,Large,3,1
"Jinnah Colony Harbanspura, Harbanspura",Lahore,4,5,House,19000000.0,900.0,0.08333333333333333,21111.11111111111,16.759949589762293,Medium,3,1
"Dha 11 Rahbar Phase 2, Dha 11 Rahbar",Lahore,3,4,House,25500000.0,1125.0,0.08333333333333333,22666.666666666668,17.05418904934434,Medium,3,1
"Dha Phase 7 - Block U, Dha Phase 7",Lahore,5,6,House,64500000.0,4500.0,0.00625,14333.333333333334,17.98217579726988,Large,3,1
"Dha Phase 6 - Block K, Dha Phase 6",Lahore,5,6,House,90000000.0,4500.0,0.013194444444444444,20000.0,18.31532023940565,Large,3,1
"Bahria Town - Jinnah Block, Bahria Town - Sector E",Lahore,3,4,House,21000000.0,1125.0,0.001388888888888889,18666.666666666668,16.860033043306743,Medium,3,1
"Model Town, Lahore",Lahore,5,6,House,100000000.0,4500.0,0.001388888888888889,22222.222222222223,18.420680753952364,Large,3,1
"Central Park - Block Bb, Central Park Housing Scheme",Lahore,4,4,House,22000000.0,1125.0,0.002777777777777778,19555.555555555555,16.906553056777135,Medium,3,1
"Central Park - Block Aa, Central Park Housing Scheme",Lahore,4,4,House,23000000.0,1125.0,0.008333333333333333,20444.444444444445,16.951004817371683,Medium,3,1
"Punjab University Society Phase 2, Punjab University Employees Society",Lahore,2,2,House,9500000.0,990.0000000000001,0.0,9595.959595959595,16.066802461833923,Medium,3,1
"Union Town, Abdul Sattar Edhi Road",Lahore,2,2,House,9500000.0,990.0000000000001,0.0,9595.959595959595,16.066802461833923,Medium,3,1
"Dha Phase 3 - Block X, Dha Phase 3",Lahore,5,5,House,72500000.0,4500.0,0.001388888888888889,16111.111111111111,18.099097133618006,Large,3,1
"Dha Phase 7 - Block Y, Dha Phase 7",Lahore,5,6,House,110000000.0,4500.0,0.001388888888888889,24444.444444444445,18.5159909328476,Large,3,1
