title,price,location,city,size,bedrooms,bathrooms,property_type,date_added,url,scraped_at
Ready To Move One Bed Apartment On One Year Installments In Bahria Town Lahore,45 Lakh,"Bahria Town - Sector E, Bahria Town",Lahore,525 sqft,1,1,Flat,Added: 2 hours ago,https://www.zameen.com/Property/bahria_town_bahria_town_-_sector_e_ready_to_move_one_bed_apartment_on_one_year_installments_in_bahria_town_lahore-53395153-1802-1.html,2026-03-30T16:08:40.004821
1700 Sqft Modern 2-Bed Apartment with Stunning Golf View in 18-Green DHA Phase 6 For Sale,7.25 Crore,"Defence Raya, DHA Defence",Lahore,"1,700 sqft",2,2,Flat,Added: 2 hours ago,https://www.zameen.com/Property/dha_defence_defence_raya_1700_sqft_modern_2-bed_apartment_with_stunning_golf_view_in_18-green_dha_phase_6_for_sale-53925215-8172-1.html,2026-03-30T16:08:40.026709
With 40 Lac Booking Get Your Fully Furnished Two Bed Apartment On Easy 2 Years On Installment Plan In Sky Lux Tower,40 Lakh,"Midway Commercial, Bahria Town",Lahore,658 sqft,2,2,Flat,Added: 4 hours ago,https://www.zameen.com/Property/bahria_town_midway_commercial_with_40_lac_booking_get_your_fully_furnished_two_bed_apartment_on_easy_2_years_on_installment_plan_in_sky_lux_tower-52522518-21559-1.html,2026-03-30T16:08:40.043715
"Tower C , Brand New 2 Beds Apartment for Sale In Ex Air Avenue DHA Phase 8 Airport Road Lahore.",1.8 Crore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",Lahore,"1,020 sqft",2,2,Flat,Added: 2 days ago,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_air_avenue_tower_c_brand_new_2_beds_apartment_for_sale_in_ex_air_avenue_dha_phase_8_airport_road_lahore-53934753-407-1.html,2026-03-30T16:08:40.060233
Tower B 2 Beds Apartment For Sale In Ex Air Avenue DHA Phase 8 Airport Road Lahore.,1.3 Crore,"DHA Phase 8 - Ex Air Avenue, DHA Phase 8",Lahore,"1,020 sqft",2,2,Flat,Added: 2 days ago,https://www.zameen.com/Property/dha_phase_8_dha_phase_8_-_ex_air_avenue_tower_b_2_beds_apartment_for_sale_in_ex_air_avenue_dha_phase_8_airport_road_lahore-53934762-407-1.html,2026-03-30T16:08:40.076677
Beautiful 3-Bedrooms Flat For Sale In Askari-11 Lahore,3.05 Crore,"Askari 11 - Sector B Apartments, Askari 11",Lahore,"2,250 sqft",3,3,Flat,Added: 2 hours ago,https://www.zameen.com/Property/askari_11_askari_11_-_sector_b_apartments_beautiful_3-bedrooms_flat_for_sale_in_askari-11_lahore-53986577-15703-1.html,2026-03-30T16:08:40.092949
Hotel Suite For Sale In Zee Avenue,1.91 Crore,"Zee Avenue, Cooper Road",Lahore,359 sqft,,,Flat,Added: 2 hours ago,,2026-03-30T16:08:40.105807
2.5 Marla Flat For Sale At Very Prime Location In Jubilee Town,80 Lakh,"Jubilee Town, Lahore",Lahore,562 sqft,1,1,Flat,Added: 1 day ago,https://www.zameen.com/Property/lahore_jubilee_town_2_5_marla_flat_for_sale_at_very_prime_location_in_jubilee_town-52425659-766-1.html,2026-03-30T16:08:40.122143
Beautiful 5 Marla House Very Close To Park.,54 Lakh,"Bahria Orchard Phase 4, Bahria Orchard",Lahore,"1,125 sqft",2,2,Flat,Added: 2 days ago,https://www.zameen.com/Property/bahria_orchard_bahria_orchard_phase_4_beautiful_5_marla_house_very_close_to_park-53971000-11201-1.html,2026-03-30T16:08:40.156985
10 Marla Flat For sale In Askari 11 - Sector D,4.15 Crore,"Askari 11 - Sector D, Askari 11",Lahore,"2,250 sqft",3,4,Flat,Added: 2 days ago,https://www.zameen.com/Property/askari_11_askari_11_-_sector_d_10_marla_flat_for_sale_in_askari_11_-_sector_d-53896676-21437-1.html,2026-03-30T16:08:40.174102
Beautiful Furnished Flat For Sale Near DHA,68 Lakh,"Punjab Coop Housing Society, Lahore",Lahore,675 sqft,1,2,Flat,Added: 26 minutes ago,https://www.zameen.com/Property/lahore_punjab_coop_housing_society_beautiful_furnished_flat_for_sale_near_dha-53884867-456-1.html,2026-03-30T16:08:40.190729
