title,price,location,city,size,bedrooms,bathrooms,property_type,date_added,url,scraped_at
5 Marla Residential Plot Available For Sale In Park View City Crystal Block,51 Lakh,"Park View City - Crystal Block, Park View City",Lahore,5 Marla,,,Plot,Added: 0 minutes ago,https://www.zameen.com/Property/park_view_city_park_view_city_-_crystal_block_5_marla_residential_plot_available_for_sale_in_park_view_city_crystal_block-51503059-17960-2.html,2026-03-30T16:23:37.021303
1 Kanal Prime Location Residential Plot For Sale in DHA Phase 9 Prism - One Call Deal Done Meeting Possible,2.2 Crore,"DHA Phase 9 Prism - Block E, DHA Phase 9 Prism",Lahore,1 Kanal,,,Plot,Added: 10 minutes ago,https://www.zameen.com/Property/dha_phase_9_prism_dha_phase_9_prism_-_block_e_1_kanal_prime_location_residential_plot_for_sale_in_dha_phase_9_prism_-_one_call_deal_done_meeting_possible-53996077-9264-2.html,2026-03-30T16:23:37.059566
10 MARLA PLOT AVAILABLE ON 40 FT ROAD IN IDEAL LOCATION LDA AVENUE BLOCK K,1.12 Crore,"LDA Avenue - Block K, LDA Avenue",Lahore,10 Marla,,,Plot,Added: 34 minutes ago,https://www.zameen.com/Property/lda_avenue_lda_avenue_-_block_k_10_marla_plot_available_on_40_ft_road_in_ideal_location_lda_avenue_block_k-53750700-8168-2.html,2026-03-30T16:23:37.073218
1 KANAL PLOT AVAILABLE IN A VERY REASONABLE PRICE ON 40 FT ROAD FOR SALE IN LDA AVENUE BLOCK A,1.65 Crore,"LDA Avenue - Block A, LDA Avenue",Lahore,1 Kanal,,,Plot,Added: 34 minutes ago,https://www.zameen.com/Property/lda_avenue_lda_avenue_-_block_a_1_kanal_plot_available_in_a_very_reasonable_price_on_40_ft_road_for_sale_in_lda_avenue_block_a-53764626-8159-2.html,2026-03-30T16:23:37.086670
10 MARLA PLOT BEST FOR INVESTMENT IN LDA AVENUE BLOCK L ON 40 FT ROAD,86 Lakh,"LDA Avenue - Block L, LDA Avenue",Lahore,10 Marla,,,Plot,Added: 34 minutes ago,https://www.zameen.com/Property/lda_avenue_lda_avenue_-_block_l_10_marla_plot_best_for_investment_in_lda_avenue_block_l_on_40_ft_road-53764646-8169-2.html,2026-03-30T16:23:37.099846
1 Kanal Residential Plot In Dream Gardens - Block J Is Available For Sale,3.1 Crore,"Dream Gardens - Block J, Dream Gardens",Lahore,1 Kanal,,,Plot,Added: 6 minutes ago,https://www.zameen.com/Property/dream_gardens_dream_gardens_-_block_j_1_kanal_residential_plot_in_dream_gardens_-_block_j_is_available_for_sale-53955718-14672-2.html,2026-03-30T16:23:37.114635
DHA Phase 7 Kanal Plot. Ideal Location Golden Opportunity. . Near To Man 100FT Road Near To Park Near Masjid,4.2 Crore,"DHA Phase 7 - Block T, DHA Phase 7",Lahore,1 Kanal,,,Plot,Added: 36 minutes ago,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_t_dha_phase_7_kanal_plot_ideal_location_golden_opportunity_near_to_man_100ft_road_near_to_park_near_masjid-53711196-1627-2.html,2026-03-30T16:23:37.127624
"Plot # 215, Oval Complex Is My Own Plot For Sale, I'M Army Officer,",5.6 Crore,"DHA Phase 9 Prism, DHA Defence",Lahore,4 Marla,,,Plot,Added: 38 minutes ago,https://www.zameen.com/Property/dha_defence_dha_phase_9_prism_plot_215_oval_complex_is_my_own_plot_for_sale_i_m_army_officer-53995918-8431-2.html,2026-03-30T16:23:37.140458
Dha Phase 7 10 Marla Hot Location Plot Direct Approach 100FetRoad,1.9 Crore,"DHA Phase 7 - Block Y, DHA Phase 7",Lahore,10 Marla,,,Plot,Added: 39 minutes ago,https://www.zameen.com/Property/dha_phase_7_dha_phase_7_-_block_y_dha_phase_7_10_marla_hot_location_plot_direct_approach_100fetroad-53937920-1632-2.html,2026-03-30T16:23:37.154153
Ideally Located Plot Near To Play Ground Two Parks Mosque School And Commercial Best For Future Investment And Construction In Very Reasonable Price,1.9 Crore,"DHA Phase 9 Prism - Block H, DHA Phase 9 Prism",Lahore,1 Kanal,,,Plot,Added: 1 hour ago,https://www.zameen.com/Property/dha_phase_9_prism_dha_phase_9_prism_-_block_h_ideally_located_plot_near_to_play_ground_two_parks_mosque_school_and_commercial_best_for_future_investment_and_construction_in_very_reasonable_price-53880141-9257-2.html,2026-03-30T16:23:37.275980
